id	condition	cond2	tradhyp	controltrans	honesthyp	likemu_1	likejd_1	likepc	likepd_1	like	goodmu_1	goodjd_1	goodpc	goodpd_1	good	trustmu_1	trustjd_1	trustpc	trustpd_1	trust	honestmu_1	honestjd_1	honestpc	honestpd_1	honest	hypmu_1	hypjd_1	hyppc	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
1	tradhyp	1	1	0	0	33	45	50	38	41.5	45	49	36	52	45.5	42	34	47	48	42.75	24	37	44	39	36	100	100	100	100	100	41.4375	28	2	6	8	4	1
2	tradhyp	1	1	0	0	0	8	38	25	17.75	0	31	23	35	22.25	0	26	29	24	19.75	0	25	20	39	21	64	25	34	79	50.5	20.1875	26	1	4	4	7	1
3	tradhyp	1	1	0	0	32	34	94	24	46	40	47	91	40	54.5	0	40	100	9	37.25	10	34	100	20	41	100	100	0	100	75	44.6875	27	2	3	4	6	1
4	honesthyp	2	0	0	1	67	78	53	50	62	25	89	28	50	48	25	77	30	50	45.5	25	60	29	34	37	73	50	67	59	62.25	48.125	51	2	4	6	4	3
5	tradhyp	1	1	0	0	30	50	39	50	42.25	50	42	51	50	48.25	37	41	35	54	41.75	14	40	34	35	30.75	94	36	70	85	71.25	40.75	37	2	4	6	6	2
6	controltrans	3	0	1	0	48	50	51	36	46.25	49	50	51	35	46.25	46	61	50	43	50	34	50	41	41	41.5	48	50	39	41	44.5	46	24	2	4	1	2	1
7	tradhyp	1	1	0	0	11	27	50	11	24.75	16	24	38	29	26.75	27	34	41	27	32.25	33	35	25	28	30.25	88	87	40	86	75.25	28.5	51	1	6	6	3	2
8	tradhyp	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	0	62	1	5	3	3	4
9	controltrans	3	0	1	0	6	43	40	91	45	43	83	46	60	58	23	39	30	58	37.5	29	69	46	84	57	83	61	58	22	56	49.375	39	1	5	9	3	2
10	controltrans	3	0	1	0	42	34	4	45	31.25	42	54	34	43	43.25	52	46	20	46	41	26	41	38	45	37.5	33	49	59	54	48.75	38.25	28	2	5	5	5	1
