id	direct	signal	qAnswered	totalCorrect	percCorrect	dowork	doromantic	doacademic	dodrugs	trustswork	trustsromantic	trustsacademic	trustsdrugs	trustgwork	trustgromantic	trustgacademic	trustgdrugs	likework	likeromantic	likeacademic	likedrugs	compq1work	compq1romantic	compq1academic	compq1drugs	sumdo	sumtrusts	sumtrustg	sumlike	sumtotal	age	gender	edu	income	generaltrust	previousexperience
1	0	0	4	4	1	4	4	4	4	4	3	4	4	4	4	4	4	5	3	4	4	2	2	2	2	4	3.75	4	4	3.9375	27	1	5	5	3	2
2	0	1	4	4	1	2	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	6	6	6	6	6	28	2	5	5	6	1
3	1	0	4	4	1	4	3	4	5	4	4	4	3	4	4	4	4	4	4	4	4	2	2	2	2	4	3.75	4	4	3.9375	27	1	5	9	3	1
4	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	25	1	5	6	5	1
5	1	1	4	4	1	4	4	1	3	5	3	4	4	4	2	4	3	5	4	4	4	1	1	1	1	5	4	3.25	4.25	4.125	30	2	4	5	3	1
6	0	1	4	4	1	5	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	4.5	5	5	5	4.875	24	1	4	3	4	1
7	0	0	4	4	1	4	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	2	2	2	4.5	3	3	3	3.375	24	1	5	6	1	3
8	1	1	4	4	1	2	3	6	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4.25	4	4	4	4.0625	37	1	4	2	2	3
9	1	0	4	4	1	4	3	5	3	5	5	4	4	5	4	4	3	5	4	5	3	2	2	2	2	4.25	4.5	4	4.25	4.25	22	1	5	4	5	1
10	1	0	4	4	1	4	3	3	5	4	2	5	5	4	3	5	6	4	5	2	6	2	2	2	2	4.25	4	4.5	4.25	4.25	22	1	5	7	5	1
11	0	1	4	4	1	2	2	2	5	5	5	6	6	5	5	5	5	5	5	5	6	1	1	1	1	5.25	5.5	5	5.25	5.25	30	1	5	5	3	3
12	1	1	4	4	1	3	3	3	3	5	4	5	5	4	5	4	5	5	4	5	4	1	1	1	1	5	4.75	4.5	4.5	4.6875	25	1	2	1	5	2
13	0	0	4	4	1	3	3	3	3	4	3	4	4	4	3	4	4	4	3	4	4	2	2	2	2	5	3.75	3.75	3.75	4.0625	45	2	5	7	5	1
14	0	0	4	4	1	2	2	5	2	4	6	3	4	4	4	4	4	4	4	4	4	2	2	2	2	5.25	4.25	4	4	4.375	25	1	6	4	6	1
15	1	0	4	4	1	4	4	5	2	4	4	3	5	4	4	4	5	4	4	4	5	2	2	2	2	4.25	4	4.25	4.25	4.1875	27	2	5	3	5	4
16	1	0	4	4	1	2	2	2	4	5	5	6	5	4	5	6	5	5	5	4	5	2	2	2	2	5.5	5.25	5	4.75	5.125	33	2	6	4	6	1
17	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	2	2	2	2	4	4	4.5	4	4.125	70	2	5	5	6	4
18	1	1	4	4	1	3	5	6	5	4	2	2	1	5	2	3	2	4	3	2	3	1	1	1	1	3.25	2.25	3	3	2.875	35	1	4	6	4	2
19	0	1	4	4	1	2	1	4	2	4	6	4	5	4	4	4	5	2	5	4	4	1	1	1	1	5.75	4.75	4.25	3.75	4.625	63	2	5	6	5	1
20	0	1	4	4	1	2	1	3	3	4	3	3	4	3	4	3	3	4	4	4	4	1	1	1	1	5.75	3.5	3.25	4	4.125	24	1	4	1	1	1
21	1	0	4	4	1	2	3	4	3	5	4	5	5	6	5	5	5	6	6	6	6	2	2	2	2	5	4.75	5.25	6	5.25	50	1	5	8	5	1
22	0	1	4	4	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	7	7	7	7	22	2	4	4	7	1
23	0	0	4	4	1	4	4	5	3	4	4	5	3	4	4	4	2	4	4	5	3	2	2	2	2	4	4	3.5	4	3.875	23	1	2	1	4	3
24	1	1	4	4	1	1	2	5	4	5	4	4	4	5	5	4	4	5	4	4	4	1	1	1	1	5	4.25	4.5	4.25	4.5	32	1	5	6	6	1
25	1	1	4	4	1	3	3	3	3	3	5	5	4	4	4	4	4	4	4	4	4	1	1	1	1	5	4.25	4	4	4.3125	31	1	5	5	6	1
26	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	24	2	5	6	6	1
27	1	0	4	4	1	5	4	4	4	3	4	4	4	3	4	4	4	4	4	4	4	2	2	2	2	3.75	3.75	3.75	4	3.8125	38	2	6	1	6	1
28	1	1	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	4	4	23	1	5	1	4	3
29	0	1	4	4	1	2	2	2	2	5	5	5	5	5	5	5	5	4	5	5	5	1	1	1	1	6	5	5	4.75	5.1875	25	1	2	6	4	2
30	0	0	4	4	1	1	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	5.25	4	4	4	4.3125	44	2	4	2	4	1
31	0	1	4	4	1	2	2	2	1	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	6.25	6	6	6	6.0625	26	1	4	6	6	3
32	0	0	4	4	1	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4.5	4	4	4	4.125	25	1	5	8	4	1
33	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	1	4	4	2	2	2	2	4	4	4	3.25	3.8125	19	1	4	4	5	1
34	1	0	4	4	1	4	5	6	2	4	4	3	5	5	4	4	5	4	4	4	5	2	2	2	2	3.75	4	4.5	4.25	4.125	45	2	4	5	4	1
35	0	1	4	4	1	1	1	1	1	7	6	7	6	7	5	6	5	5	6	5	6	1	1	1	1	7	6.5	5.75	5.5	6.1875	36	2	3	6	3	2
36	1	1	4	4	1	4	2	5	6	4	4	5	4	5	5	6	5	5	4	6	4	1	1	1	1	3.75	4.25	5.25	4.75	4.5	29	1	2	4	5	3
37	1	0	4	4	1	3	4	4	4	5	4	4	5	5	4	4	5	4	4	4	4	2	2	2	2	4.25	4.5	4.5	4	4.3125	22	1	4	3	4	2
38	1	0	4	4	1	4	4	4	5	3	2	6	4	2	2	4	2	4	4	4	4	2	2	2	2	3.75	3.75	2.5	4	3.5	31	2	5	7	5	1
39	1	0	4	4	1	4	4	4	2	4	2	4	4	4	3	4	5	4	4	4	4	2	2	2	2	4.5	3.5	4	4	4	54	2	2	4	4	1
40	0	1	4	4	1	1	2	1	1	6	6	6	7	5	5	5	5	4	4	4	4	1	1	1	1	6.75	6.25	5	4	5.5	25	1	4	2	6	1
41	0	0	4	4	1	5	5	3	4	1	5	6	3	6	1	3	4	5	1	4	4	2	2	2	2	3.75	3.75	3.5	3.5	3.625	28	1	4	2	6	1
42	0	0	4	4	1	2	4	2	5	5	4	5	4	5	5	5	3	4	4	4	4	2	2	2	2	4.75	4.5	4.5	4	4.4375	27	1	4	5	4	1
43	1	0	4	4	1	3	2	6	3	5	5	2	6	5	5	3	4	4	4	3	4	2	2	2	2	4.5	4.5	4.25	3.75	4.25	54	1	2	9	5	1
44	1	1	4	4	1	6	2	7	7	4	5	4	2	2	4	1	2	4	4	1	2	1	1	1	1	2.5	3.75	2.25	2.75	2.8125	25	1	5	7	4	3
45	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	38	2	6	6	5	1
46	0	1	4	4	1	2	2	2	2	6	6	7	6	6	5	6	6	4	5	5	5	1	1	1	1	6	6.25	5.75	4.75	5.6875	60	2	2	3	6	1
